ID, Category, Difficulty, FEN, Solution, GameLink, Date, Opening
1, Tattica Generica, Media, 5r2/pQpkn1p1/2np4/2b1p1qp/2B1P3/2PP3P/PP1N1PP1/R4RK1 w - - 3 15, d3d4, https://www.chess.com/game/live/172756779844, 2026-08-09, Italian Game
2, Tattica Generica, Difficile, 5r2/p1pk2p1/2np4/1Q5p/2BbPq2/7P/PP3PP1/R4RK1 w - - 2 20, c4d5, https://www.chess.com/game/live/172756779844, 2026-08-09, Italian Game
3, Pezzo Appeso, Media, 5r2/p1p3p1/2npk3/1Q5p/3bPq2/7P/PP3PP1/R4RK1 w - - 0 21, b5c6, https://www.chess.com/game/live/172756779844, 2026-08-09, Italian Game
4, Forchetta, Media, 5r2/p1p3p1/2npk3/7p/3bP3/6qP/PP2QPP1/R4RK1 w - - 2 22, e2c4, https://www.chess.com/game/live/172756779844, 2026-08-09, Italian Game
5, Forchetta, Media, 5r2/p1p3p1/2npk3/7p/3bPq2/7P/PP2QPP1/R4R1K w - - 4 23, e2c4, https://www.chess.com/game/live/172756779844, 2026-08-09, Italian Game
6, Tattica Generica, Facile, 5r2/p1pk2p1/2np4/4b2p/2Q1Pq2/5P1P/PP4P1/R4R1K w - - 3 25, h1g1, https://www.chess.com/game/live/172756779844, 2026-08-09, Italian Game
7, Tattica Generica, Facile, 1r6/1p4rp/p3R3/P4p1k/1R3K2/8/7P/8 b - - 0 39, g7g4, https://www.chess.com/game/live/172755849988, 2026-08-09, Irregular Openings
8, Tattica Generica, Facile, 1r6/1p3r1p/p3R3/P4p1k/5K2/8/7P/1R6 b - - 2 40, b8d8, https://www.chess.com/game/live/172755849988, 2026-08-09, Irregular Openings
9, Tattica Generica, Media, r4r1k/1pp3p1/2n2q1p/p1bQN3/3p4/P2P2PP/1PPB1P2/2KR3R b - - 0 17, f6e5, https://www.chess.com/game/live/172394480318, 2026-08-01, Bishop's Opening
10, Tattica Generica, Media, r4r1k/1pp3p1/5q1p/p1Q1n3/3p4/P2P2PP/1PPB1P2/2KR3R b - - 0 18, e5f3, https://www.chess.com/game/live/172394480318, 2026-08-01, Bishop's Opening
11, Tattica Generica, Difficile, 5r1k/1pQ3p1/7p/p7/3p1B2/P2P2PP/1PP1rq2/2KR3R b - - 2 21, f8f6, https://www.chess.com/game/live/172394480318, 2026-08-01, Bishop's Opening
12, Tattica Generica, Facile, 5r1k/1pQ5/7p/p3B1p1/3p4/P2P2PP/1PP1rq2/2KR3R b - - 1 22, e2e5, https://www.chess.com/game/live/172394480318, 2026-08-01, Bishop's Opening
13, Tattica Generica, Difficile, rnbqk3/1p1n1prN/2p1p3/2PpP2p/1B1P2p1/P2B4/3Q1PPP/R4RK1 w q - 4 20, d2h6, https://www.chess.com/game/live/172394111582, 2026-08-01, French Defense
14, Tattica Generica, Difficile, r1b2R2/1p1k3r/2p1p3/2Pp4/1B1P2p1/P5P1/7P/5RK1 w - - 1 33, f8g8, https://www.chess.com/game/live/172394111582, 2026-08-01, French Defense
